Player,Pos,Ht,PTS,AST,TRB,STL,BLK,eFG%,FT%,TOV,PF,ChrissyMetric
Gary Harris,G,6-4,1.2805812057081434,-0.7762470013375523,-2.086316525133185,1.624708094485214,-0.9713902480002001,1.3816827993411265,0.6892509144629219,0.1855455506377849,0.3001760621566986,1.6279908523209519
Rodney Hood,G-F,6-8,3.3064363084148667,0.6799243807336236,-1.4829141540334456,0.22821986611497982,-0.9713902480002001,-0.16623559399222126,1.1049446311351918,-0.20425177781380158,-0.964500134142833,1.5302332784161603
Kentavious Caldwell-Pope,G,6-5,3.3064363084148667,-0.958268424096449,-1.1208727313736013,1.973830151577772,-0.9713902480002001,-1.2276653494208025,0.5957198282116623,0.05561310782058959,-0.2418280219716724,1.4115746211621651
Jose Calderon,G,6-3,-3.0473819682562224,3.22822429935818,-1.7242751024733414,0.22821986611497982,-1.2692987130790205,2.0008501566744656,1.260829774887293,0.3154779934549805,0.3001760621566986,1.2928223688380132
Elfrid Payton,G,6-3,-0.19276795989674805,7.414717022812811,-1.2415532055935494,1.275586037392655,-0.6734817829213797,-2.2448688650398574,-1.7113802993194343,-1.2437113203513652,-0.2418280219716724,1.1407116051114592
Omri Casspi,F,6-9,0.8201595914566152,-1.686354115132037,1.5340977014652537,-0.12090219097757858,-0.9713902480002001,2.841148713055421,-1.0982320672278363,0.05561310782058959,-0.2418280219716724,1.132312470488555
Mason Plumlee,C-F,6-10,-1.666117125501638,0.8619458034925199,3.7063462374243166,-0.12090219097757858,1.411877472630363,0.4087055235315936,-1.1605861247286766,-0.5940491062653878,-1.867840274356784,0.9793802152487279
Andrew Bogut,C,7-0,-5.073237070962946,-0.04816131030196478,2.8615829178846806,-1.168268362255254,3.1993282631032858,5.406270622007826,-2.8441456772513685,0.3154779934549805,-2.0485083023995743,0.6003390732796645
Zach LaVine,G-F,6-5,2.8460146941633386,1.4080100717692112,-2.2069969993531333,-0.12090219097757858,-0.9713902480002001,0.4087055235315936,0.40865765570914087,-0.5940491062653878,-0.6031640780572524,0.5748853225197318
D'Angelo Russell,G,6-3,2.109340111360893,1.7720529172870045,-1.4829141540334456,1.275586037392655,-0.9713902480002001,-1.2718915892303269,-0.17331354763203694,-1.3736437631685607,0.4808440901994886,0.3646698541754705
Ed Davis,F,6-9,-4.060309519609584,-2.2324183834087274,3.344304814764473,-0.47002424807013743,1.1139690075515427,4.6101983054363895,-2.0231505868236357,0.8352077647237622,-0.7838321061000426,0.3339450484640396
Tyson Chandler,C,7-0,-3.415719259657445,-2.4144398061676244,4.913150979623795,-1.168268362255254,0.5181520773939017,3.3718635907697116,-1.389217668898425,0.05561310782058959,-0.2418280219716724,0.22930663665757678
Amir Johnson,F-C,6-9,-3.3236349368071396,-1.1402898468553462,2.1375000725649933,-0.47002424807013743,1.7097859377091837,3.9468047082935267,-1.9088348147387624,0.3154779934549805,-1.1451681621856233,0.12161670336567565
Harrison Barnes,F,6-8,0.7280752686063083,-0.958268424096449,0.3272929592657742,-0.8191463051626957,-0.9713902480002001,1.072099120674457,0.07610268237132498,0.7052753219065668,-0.061159993928882064,0.09888038163620459
Al-Farouq Aminu,F,6-8,-0.6531895741482763,-1.1402898468553462,1.7754586499051488,0.22821986611497982,0.22024361231508144,-0.16623559399222126,-0.17331354763203694,-0.07431933499660599,-0.061159993928882064,-0.04458576321815863
Jared Sullinger,F,6-9,-0.5611052512979693,-0.04816131030196478,4.430429082744005,0.22821986611497982,0.22024361231508144,-2.37754758446843,-1.1813708105622902,0.1855455506377849,-0.964500134142833,-0.06824697896163678
